group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2024-10-25,100.0057061576597,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-10-26,100.05281503597284,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-10-27,100.05947452566652,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-10-31,99.85023274470167,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-11-02,99.92715561465064,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-11-03,99.82689591737244,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-11-29,100.39949361979377,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-11-30,100.08942370691085,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-12-28,88.18416069937909,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2024-12-31,95.32008946376904,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-01-25,91.59648950625777,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-02-01,100.09348353632957,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-02-02,100.05201568565954,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-02-28,100.27431366541211,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-03-28,96.18092026654774,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-03-29,94.58963046304198,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-03-30,96.23586235954456,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-03-31,92.83536553340203,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-05-30,100.48811969397562,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-05-31,100.1356336123951,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-06-28,81.14929982969461,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-06-29,77.5801549680751,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-06-30,94.68869050171213,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-07-25,99.91589676503085,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-07-26,99.95349584747152,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-07-27,99.9662072547026,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-07-31,99.85701699587023,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-08-02,99.49947235000155,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-08-03,99.84106465760189,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-08-29,100.54195261524025,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2025-08-31,100.16419048348135,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-01-02,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-01-30,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-01-31,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-03-27,100.03554638218924,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-03-28,100.04818925334709,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-03-31,91.37495823201854,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-04-30,99.98991031687245,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-05-01,99.98000498457533,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-05-02,99.91187662344919,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-05-31,100.04188704581358,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-06-26,100.03534267040149,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-06-27,100.08442726871708,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-06-30,88.79768301289373,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-07-31,84.74925676002839,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-09-30,94.86204662809835,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-10-01,69.99602661274292,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-10-02,69.99807090100302,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-10-03,70.01989001705684,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-10-30,100.00000000000001,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-10-31,94.14839593662717,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-12-02,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-12-25,100.00769978308846,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-12-26,100.06091435593159,Equal-weighted,2021-01-01
Non-AI / Control Group,2021-12-31,83.25317105269049,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-01-29,99.99394870691376,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-01-31,99.92904685076158,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-03-03,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-03-26,94.17669428895438,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-03-27,100.02655690703737,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-03-31,89.87353022552152,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-04-01,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-04-02,100.034440376965,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-04-03,100.10828197061633,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-04-30,99.98853202033546,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-05-31,100.04249200952057,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-06-02,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-06-25,99.81439633465196,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-06-26,100.03160698689956,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-06-30,97.52539532239425,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-01,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-02,100.03824259352743,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-03,100.1247286692119,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-29,90.12465548315608,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-30,40.07510957620641,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-07-31,91.24383766596887,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-09-01,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-09-24,90.9501076684736,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-09-30,99.13914278829078,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-01,98.02069629192171,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-02,94.07614667381628,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-28,100.2420523926171,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-29,100.19296093577236,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-30,100.29149211446267,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-10-31,89.53395201653277,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-11-06,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-11-30,100.06446350187468,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-12-24,71.02701478615411,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-12-25,100.0,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-12-30,100.13744444444444,Equal-weighted,2021-01-01
Non-AI / Control Group,2022-12-31,98.61760539888974,Equal-weighted,2021-01-01
Non-AI / Control Group,2023-01-28,99.99999999999999,Equal-weighted,2021-01-01
